playerID,year,stint,tmID,lgID
adairje01w,11,0,MIN,WNBA
adamsda01w,11,0,SAS,WNBA
ajavoma01w,11,0,WAS,WNBA
anosini01w,11,0,WAS,WNBA
appelja01w,11,0,SAS,WNBA
augusse01w,11,0,MIN,WNBA
ayimmi01w,11,0,TUL,WNBA
balesal01w,11,0,ATL,WNBA
beviltu01w,11,0,SAS,WNBA
birdsu01w,11,0,SEA,WNBA
bjorkan01w,11,0,CHI,WNBA
bobbish01w,11,0,IND,WNBA
bonnede01w,11,0,PHO,WNBA
braxtka01w,11,0,NYL,WNBA
braxtka01w,11,0,PHO,WNBA
brelaje01w,11,0,CON,WNBA
brelaje01w,11,0,NYL,WNBA
brunsre01w,11,0,MIN,WNBA
camba01w,11,0,TUL,WNBA
cantydo01w,11,0,CHI,WNBA
carsoes01w,11,0,NYL,WNBA
cashsw01w,11,0,SEA,WNBA
castriz01w,11,0,ATL,WNBA
catchta01w,11,0,IND,WNBA
charlti01w,11,0,CON,WNBA
cheekjo01w,11,0,WAS,WNBA
chestfe01w,11,0,NYL,WNBA
chriska02w,11,0,TUL,WNBA
chriska02w,11,0,WAS,WNBA
colemma01w,11,0,WAS,WNBA
colsosy01w,11,0,NYL,WNBA
currimo01w,11,0,WAS,WNBA
davenje01w,11,0,IND,WNBA
desouer01w,11,0,ATL,WNBA
douglka01w,11,0,IND,WNBA
dunlavi01w,11,0,WAS,WNBA
dupreca01w,11,0,PHO,WNBA
elysh01w,11,0,IND,WNBA
ferdima01w,11,0,PHO,WNBA
fowlesy01w,11,0,CHI,WNBA
gardike01w,11,0,WAS,WNBA
graylal01w,11,0,PHO,WNBA
greenka01w,11,0,CON,WNBA
griffke01w,11,0,CON,WNBA
hammobe01w,11,0,SAS,WNBA
hardili01w,11,0,ATL,WNBA
harriam01w,11,0,MIN,WNBA
hightal01w,11,0,CON,WNBA
hodgedo01w,11,0,TUL,WNBA
hodgero01w,11,0,SAS,WNBA
hoffmeb01w,11,0,LAS,WNBA
holliqu01w,11,0,NYL,WNBA
holtam01w,11,0,TUL,WNBA
hornbal01w,11,0,MIN,WNBA
houstch01w,11,0,MIN,WNBA
ibekwif01w,11,0,SEA,WNBA
irvinsa01w,11,0,ATL,WNBA
jacksla01w,11,0,SEA,WNBA
jacksti02w,11,0,TUL,WNBA
januabr01w,11,0,IND,WNBA
johnste01w,11,0,PHO,WNBA
jonesas01w,11,0,CON,WNBA
jonesma01w,11,0,TUL,WNBA
kobryew01w,11,0,SEA,WNBA
kraayca01w,11,0,CHI,WNBA
lacyje01w,11,0,TUL,WNBA
lacyna01w,11,0,LAS,WNBA
langhcr01w,11,0,WAS,WNBA
lattaiv01w,11,0,TUL,WNBA
lavenja01w,11,0,LAS,WNBA
lawsoka01w,11,0,CON,WNBA
lehnish01w,11,0,ATL,WNBA
lennobe01w,11,0,TUL,WNBA
littlca01w,11,0,SEA,WNBA
lyttlsa01w,11,0,ATL,WNBA
mazzake01w,11,0,ATL,WNBA
mccouan01w,11,0,ATL,WNBA
mccrada01w,11,0,CON,WNBA
mcwilta01w,11,0,MIN,WNBA
milleco01w,11,0,ATL,WNBA
milleke01w,11,0,WAS,WNBA
miltode01w,11,0,LAS,WNBA
mitchle01w,11,0,NYL,WNBA
monroja01w,11,0,TUL,WNBA
montgal01w,11,0,NYL,WNBA
montgre01w,11,0,CON,WNBA
mooreje01w,11,0,CON,WNBA
moorema01w,11,0,MIN,WNBA
murphsh01w,11,0,CHI,WNBA
oheaje01w,11,0,LAS,WNBA
olajuab01w,11,0,TUL,WNBA
parisco01w,11,0,ATL,WNBA
parkeca01w,11,0,LAS,WNBA
pederka01w,11,0,TUL,WNBA
penicti01w,11,0,LAS,WNBA
perkiji01w,11,0,SAS,WNBA
philler01w,11,0,IND,WNBA
phillpo01w,11,0,SAS,WNBA
phillta02w,11,0,NYL,WNBA
phillta02w,11,0,WAS,WNBA
pierspl01w,11,0,NYL,WNBA
pohleje01w,11,0,IND,WNBA
pondeca01w,11,0,NYL,WNBA
powelni01w,11,0,NYL,WNBA
pricear01w,11,0,ATL,WNBA
princep01w,11,0,CHI,WNBA
pringla01w,11,0,LAS,WNBA
quiglal01w,11,0,SEA,WNBA
quinnno01w,11,0,LAS,WNBA
reedch01w,11,0,TUL,WNBA
rileyan01w,11,0,TUL,WNBA
rileyru01w,11,0,SAS,WNBA
robinas01w,11,0,SEA,WNBA
robinda01w,11,0,SAS,WNBA
sanfona01w,11,0,PHO,WNBA
sanniol01w,11,0,PHO,WNBA
smithka01w,11,0,SEA,WNBA
smithta01w,11,0,IND,WNBA
snellbe01w,11,0,SEA,WNBA
snowmi01w,11,0,CHI,WNBA
spencsi01w,11,0,NYL,WNBA
spencsi01w,11,0,PHO,WNBA
suttota01w,11,0,IND,WNBA
swanike01w,11,0,PHO,WNBA
swoopsh01w,11,0,TUL,WNBA
swordca01w,11,0,CHI,WNBA
tauradi01w,11,0,PHO,WNBA
taylope01w,11,0,PHO,WNBA
thomaja01w,11,0,WAS,WNBA
thomakr01w,11,0,PHO,WNBA
thomakr01w,11,0,SEA,WNBA
thompti01w,11,0,LAS,WNBA
thorner01w,11,0,CHI,WNBA
tolivkr01w,11,0,LAS,WNBA
vandeco01w,11,0,CHI,WNBA
vaughki01w,11,0,NYL,WNBA
walkede01w,11,0,CON,WNBA
walkede01w,11,0,WAS,WNBA
whaleli01w,11,0,MIN,WNBA
whiteta01w,11,0,CON,WNBA
wiggica01w,11,0,MIN,WNBA
willile01w,11,0,SEA,WNBA
wisdoli01w,11,0,CHI,WNBA
wrighmo01w,11,0,MIN,WNBA
wrighta01w,11,0,SEA,WNBA
youngso01w,11,0,SAS,WNBA
youngta01w,11,0,CHI,WNBA
zellosh01w,11,0,IND,WNBA
