playerID,year,stint,tmID,minutes,points,oRebounds,rebounds,assists,dq,PostMinutes,PostBlocks,PostTurnovers,PostPF,PostDQ,playoff,confID,playoff_exit,pos,career_year,efg%,ts%,ppg,rpg,apg,spg,bpg,eff,defensive_prowess,defensive_discipline,prizeCount
abrossv01w,2,0,MIN,846,343,43,174,53,2,0,0,0,0,0,0,WE,0,2,1,0.4215,0.42986624428018305,13.19,6.69,2.04,1.62,0.35,0.3255237177943655,60.0,72.86,0
abrossv01w,3,0,MIN,805,314,45,146,60,0,0,0,0,0,0,0,WE,0,2,2,0.6122693865306734,0.5885509838998212,11.63,5.41,2.22,1.56,0.37,0.1172515010006671,56.52,71.23,0
abrossv01w,4,0,MIN,792,318,44,141,82,0,69,1,8,8,0,1,WE,2,2,3,0.6179091809308247,0.5850537244959556,10.6,4.7,2.73,1.47,0.37,0.29562100268207137,61.11,69.62,0
abrossv01w,5,0,MIN,462,146,17,74,45,0,67,2,3,7,0,1,WE,2,2,4,0.28300000000000003,0.30560000000000004,6.64,3.36,2.05,1.36,0.09,0.6371645363344707,74.42,76.19,0
abrossv01w,6,0,MIN,777,304,29,107,60,0,0,0,0,0,0,0,WE,0,2,5,0.6062666666666666,0.6170878158618964,9.81,3.45,1.94,1.55,0.19,0.37744516893894486,67.5,62.79,0
abrossv01w,7,0,MIN,724,263,44,106,54,0,0,0,0,0,0,0,WE,0,2,6,0.6231903666621568,0.4313621964097149,7.74,3.12,1.59,1.0,0.03,0.525625,57.38,53.03,0
abrossv01w,8,0,MIN,843,345,53,150,85,0,0,0,0,0,0,0,WE,0,2,7,0.4148,0.43544,10.15,4.41,2.5,1.29,0.12,0.4716195227561538,70.59,55.81,0
abrossv01w,9,0,CON,107,34,3,20,12,0,63,0,3,8,0,1,EA,2,2,8,0.49992500374981247,0.563955080799781,5.67,3.33,2.0,1.33,0.0,0.9398110154986049,72.73,61.54,0
adamsjo01w,4,0,MIN,96,33,10,23,4,0,0,0,0,0,0,1,WE,2,3,1,0.6644504173150375,0.5879512254014246,3.3,2.3,0.4,0.2,0.3,0.9368165875799463,50.0,50.0,0
aguilel01w,3,0,UTA,141,43,0,11,16,0,4,0,0,1,0,1,WE,2,1,1,0.8863056847157642,0.8200082565019954,1.54,0.39,0.57,0.11,0.07,0.9110873915943963,45.45,100.0,0
ajavoma01w,9,0,HOU,604,273,33,60,59,1,0,0,0,0,0,0,WE,0,1,1,0.5308234588270586,0.5768282662284305,8.03,1.76,1.74,0.91,0.18,0.4105840699664705,67.27,43.53,0
ajavoma01w,10,0,WAS,587,272,27,64,37,1,34,0,2,6,0,1,EA,2,1,2,0.39130000000000004,0.4512,8.0,1.88,1.09,1.09,0.12,0.3600245436416628,82.0,48.81,0
aldrima01w,1,0,WAS,272,63,8,24,28,0,49,0,1,3,0,1,EA,2,1,1,0.5185,0.6807485895142424,2.17,0.83,0.97,0.31,0.14,0.8141758359149663,48.15,43.33,0
aldrima01w,2,0,WAS,35,7,2,2,2,0,0,0,0,0,0,0,EA,0,1,2,0.3333,0.3262935586061246,1.4,0.4,0.4,0.0,0.0,0.9715868047194799,0.0,0.0,0
alhalta01w,2,0,ORL,252,49,15,38,14,0,0,0,0,0,0,0,EA,0,5,1,0.36210000000000003,0.3360612460401267,1.88,1.46,0.54,0.42,0.0,0.8225379243920058,39.29,55.0,0
allench01w,9,0,SAC,49,16,2,6,3,0,3,0,1,1,0,1,WE,2,1,1,0.7499625018749062,0.6847439057792386,2.67,1.0,0.5,0.17,0.0,0.9750052756219372,16.67,20.0,0
amachma01w,2,0,NYL,3,1,1,1,0,0,0,0,0,0,0,1,EA,3,2,1,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.9891644594269203,100.0,50.0,0
amachma01w,4,0,SEA,47,8,4,14,0,0,0,0,0,0,0,0,WE,0,2,2,0.4243881737162258,0.41060002414584085,1.14,2.0,0.0,0.71,0.29,0.961677326181143,77.78,233.33,0
amachma01w,6,0,WAS,3,2,0,0,0,0,0,0,0,0,0,0,EA,0,2,3,0.0,0.6653740305228921,0.67,0.0,0.0,0.0,0.0,0.9942452084568267,0.0,0.0,0
ambermo01w,3,0,SAC,4,0,0,0,0,0,0,0,0,0,0,0,WE,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9919946631087392,0.0,0.0,0
anderam01w,7,1,CON,1,0,0,2,0,0,0,0,0,0,0,1,EA,3,2,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0
anderam01w,7,2,NYL,9,0,1,2,0,0,0,0,0,0,0,0,EA,0,2,2,0.0,0.0,0.0,0.67,0.0,0.33,0.0,0.9933035714285714,100.0,0.0,0
anderch01w,4,0,SAC,171,42,7,24,5,1,29,2,4,7,0,1,WE,3,3,1,0.610836044702221,0.5144271399251479,1.62,0.92,0.19,0.19,0.19,0.87649577057974,58.82,30.3,0
anderch01w,5,0,SAC,231,77,14,34,5,0,11,0,1,1,0,1,WE,3,3,2,0.2604,0.3197333333333333,2.57,1.13,0.17,0.1,0.2,0.8094668228344453,36.0,19.57,0
anderch01w,6,0,SAS,669,203,28,90,11,5,0,0,0,0,0,0,WE,0,3,3,0.6217333333333334,0.6404803602702027,5.97,2.65,0.32,0.24,0.44,0.6261114404267931,41.82,21.7,0
anderch01w,7,0,SAS,414,153,28,85,15,0,0,0,0,0,0,0,WE,0,3,4,0.7127587606548506,0.5107356564589933,6.65,3.7,0.65,0.3,0.43,0.8163616071428572,58.62,23.29,0
anderch01w,8,0,SAS,86,28,6,20,3,0,5,0,0,3,0,1,WE,3,3,5,0.4,0.44304000000000004,2.55,1.82,0.27,0.09,0.45,0.9627712147597308,120.0,54.55,0
anderjo01w,9,0,CON,367,97,11,58,26,0,0,0,0,0,0,1,EA,2,1,1,0.5119244037798111,0.500958641468091,4.04,2.42,1.08,0.29,0.04,0.7581889376069779,50.0,47.06,0
anderke01w,1,0,WAS,434,75,12,46,75,0,30,0,4,1,0,1,EA,2,1,1,0.4485,0.6796477225815329,2.5,1.53,2.5,0.83,0.1,0.7715521845956628,59.57,52.83,0
anderke01w,2,0,CHA,102,12,3,15,14,0,7,0,1,1,0,1,EA,0,1,2,0.125,0.2587997184090109,0.67,0.83,0.78,0.33,0.0,0.9171923910426198,35.29,75.0,0
anderke01w,3,0,CHA,31,7,2,6,5,0,0,0,0,0,0,1,EA,2,1,3,0.4375281235938203,0.40140360533920466,1.0,0.86,0.71,0.0,0.0,0.9668312208138758,0.0,0.0,0
andrame01w,1,0,CLE,797,265,32,95,75,1,166,3,11,17,0,1,EA,3,2,1,0.5256000000000001,0.7920737580844915,8.28,2.97,2.34,1.28,0.31,0.5224335006943702,78.46,56.04,0
